City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
Dali,25.6,100.24,61.34,90,92,2.15,CN,1539326541
Conceicao do Araguaia,-8.26,-49.26,74.62,90,0,2.93,BR,1539326542
Aksu,52.04,76.93,59.0,34,0,20.13,KZ,1539324000
Zhigansk,66.77,123.37,32.09,85,88,3.49,RU,1539326543
Yining,29.04,114.56,70.84,38,20,3.04,CN,1539326543
Hambantota,6.12,81.12,79.61,100,68,8.41,LK,1539326543
Northam,51.04,-4.21,59.0,93,75,25.28,GB,1539325200
Lalibela,12.04,39.05,62.42,43,0,2.71,ET,1539326544
Ca Mau,9.18,105.15,79.84,100,88,5.17,VN,1539326545
Mount Gambier,-37.83,140.78,68.45,60,0,6.85,AU,1539326402
Yerbogachen,61.28,108.01,39.7,59,88,7.4,RU,1539326545
Coolum Beach,-26.53,153.09,65.08,100,92,11.65,AU,1539326546
Abalak,15.46,6.28,67.91,72,0,2.82,NE,1539326546
Vidim,50.47,14.53,51.8,93,0,4.7,CZ,1539324000
Flinders,-34.58,150.85,59.27,70,88,6.73,AU,1539326547
Kerrville,30.05,-99.14,62.24,82,75,3.36,US,1539324900
Balikpapan,-1.24,116.86,82.31,100,68,5.06,ID,1539326548
Baykit,61.68,96.39,34.57,75,56,8.63,RU,1539326549
Aklavik,68.22,-135.01,26.6,86,90,6.93,CA,1539324000
Marzuq,14.4,46.47,80.96,18,0,3.49,YE,1539326550
Hearst,49.69,-83.67,31.46,87,88,9.31,CA,1539326550
Ahuimanu,21.44,-157.84,78.08,93,90,4.7,US,1539324480
Rock Falls,43.21,-93.08,30.2,92,90,4.7,US,1539324900
Codrington,-28.95,153.24,62.65,81,92,6.96,AU,1539326551
Miraflores,5.2,-73.14,52.39,99,92,2.04,CO,1539326552
Alice Springs,-23.7,133.88,84.2,28,0,12.75,AU,1539324000
La Oroya,-11.52,-75.9,26.6,88,56,3.04,PE,1539326553
Vardo,39.62,-77.74,62.6,64,1,18.34,US,1539324900
Port Lincoln,-34.72,135.86,66.65,75,0,14.23,AU,1539326553
Puerto Carreno,6.19,-67.49,67.55,97,64,2.93,CO,1539326554
Tivoli,41.96,12.8,62.6,93,0,3.36,IT,1539324000
Crotone,39.09,17.12,64.4,93,0,4.7,IT,1539324000
Panguna,-6.32,155.48,77.45,92,80,3.38,PG,1539326555
Yar-Sale,66.83,70.83,32.23,100,68,13.44,RU,1539326555
Yatou,3.63,9.81,77.0,100,75,2.24,CM,1539324000
Itaueira,-7.6,-43.03,76.1,37,8,8.97,BR,1539326556
Mangrul Pir,20.31,77.34,87.44,56,0,9.19,IN,1539326556
Turkmenabat,39.09,63.58,69.8,57,0,9.17,TM,1539324000
Ryotsu,38.08,138.43,66.2,55,40,11.41,JP,1539324000
Pahrump,36.21,-115.98,68.0,42,40,12.75,US,1539323880
Ikalamavony,-21.17,46.6,68.0,63,48,6.17,MG,1539326558
Three Hills,51.7,-113.27,37.4,86,90,6.93,CA,1539324000
Alhandra,-7.43,-34.91,69.8,100,0,8.05,BR,1539324000
Ahipara,-35.17,173.16,57.07,86,44,21.83,NZ,1539326559
Huntington,40.87,-73.43,69.98,100,90,8.05,US,1539325500
Acapulco,16.86,-99.88,77.0,94,75,8.05,MX,1539323520
Alenquer,-1.95,-54.74,77.0,100,0,5.82,BR,1539324000
Tautira,-17.73,-149.15,80.6,69,75,3.36,PF,1539324000
Necochea,-38.55,-58.74,49.42,70,92,10.98,AR,1539326519
Guipavas,48.43,-4.4,64.4,72,90,28.86,FR,1539324000
Breves,-1.68,-50.48,77.68,90,24,8.63,BR,1539326562
Mayuge,0.46,33.48,65.44,100,92,3.71,UG,1539326562
Sechura,-5.56,-80.82,63.05,95,32,8.75,PE,1539326562
Baiyin,36.55,104.13,59.0,44,0,6.71,CN,1539324000
Barrhead,54.12,-114.4,39.2,90,92,8.41,CA,1539326563
Coquimbo,-29.95,-71.34,50.0,81,90,5.82,CL,1539324000
Asyut,27.18,31.19,70.93,57,0,4.16,EG,1539326564
Fort Stewart,31.87,-81.61,69.08,60,1,4.7,US,1539324900
Dunmore Town,25.5,-76.65,82.9,100,64,13.78,BS,1539326436
Zvishavane,-20.32,30.05,74.66,33,0,4.38,ZW,1539326565
Vila,45.18,8.4,59.0,100,75,3.36,IT,1539323700
The Valley,18.22,-63.06,80.6,83,20,9.17,AI,1539324000
Musoma,-1.5,33.81,73.4,64,75,9.17,TZ,1539324000
Nauta,-4.51,-73.58,74.98,94,44,2.71,PE,1539326566
Mission,26.22,-98.33,80.96,88,75,4.7,US,1539324900
Damavand,35.72,52.07,73.4,31,0,4.7,IR,1539324000
Robertsport,6.75,-11.37,77.32,100,76,3.83,LR,1539326568
San Cristobal,-0.39,-78.55,44.6,87,40,4.7,EC,1539324000
Awjilah,29.14,21.3,64.4,79,0,9.53,LY,1539326568
Yulara,-25.24,130.99,86.0,35,40,14.99,AU,1539324000
Kalmunai,7.42,81.82,85.55,78,56,11.99,LK,1539326569
Shahrud,36.42,54.97,56.62,68,48,3.6,IR,1539326569
Namatanai,-3.66,152.44,83.84,100,44,7.63,PG,1539326570
Srivardhan,18.03,73.02,91.31,63,0,5.39,IN,1539326570
Ust-Kuyga,70.0,135.55,20.89,96,44,3.38,RU,1539326570
Kaeo,-35.1,173.78,57.34,71,20,19.82,NZ,1539326571
Jacksonville,30.33,-81.66,77.0,94,1,7.63,US,1539324900
Omsukchan,62.53,155.8,28.99,83,76,2.71,RU,1539326572
Loikaw,19.67,97.21,73.18,91,76,3.15,MM,1539326572
Bend,44.06,-121.32,37.4,64,1,6.93,US,1539324900
Bagalkot,16.19,75.7,92.84,38,8,4.61,IN,1539326573
Ambon,47.55,-2.56,55.4,93,0,5.82,FR,1539325800
Saurimo,-9.66,20.4,68.54,89,92,3.71,AO,1539326574
Boysun,38.2,67.2,46.4,66,0,1.92,UZ,1539326574
Ostrovnoy,68.05,39.51,30.47,95,36,12.44,RU,1539326574
Borovoy,63.23,52.89,36.86,74,48,15.79,RU,1539326575
Port-Cartier,50.03,-66.88,32.0,100,90,19.46,CA,1539324000
Bandar-e Lengeh,26.56,54.88,89.6,59,0,11.41,IR,1539324000
Jiuquan,39.73,98.49,51.71,37,0,4.72,CN,1539326576
Kaoma,-14.8,24.8,72.05,37,0,10.98,ZM,1539326576
Bemidji,47.48,-94.89,15.8,100,1,3.36,US,1539324900
Yinchuan,38.48,106.21,64.49,31,0,2.93,CN,1539326577
Nizhniy Odes,63.64,54.86,36.05,76,48,10.42,RU,1539326577
Charters Towers,-20.07,146.27,83.89,60,32,9.75,AU,1539326578
Anderson,34.51,-82.65,60.98,93,1,5.82,US,1539324900
Santiago de Cao,-7.96,-79.24,64.4,88,90,8.05,PE,1539324000
San Policarpo,12.18,125.51,81.64,100,92,7.29,PH,1539326579
Kipushi,-11.76,27.24,75.47,51,0,3.83,CD,1539326579
Mount Isa,-20.73,139.49,91.4,17,0,11.41,AU,1539324000
Saraza,8.74,117.78,83.08,96,64,3.15,PH,1539326580
Puerto Escondido,15.86,-97.07,76.64,100,88,4.83,MX,1539326580
Kalulushi,-12.84,28.09,77.99,33,92,7.63,ZM,1539326581
Namibe,-15.19,12.15,68.68,100,92,10.2,AO,1539326581
Miri,10.31,9.75,69.8,84,0,2.93,NG,1539326581
Norden,53.59,7.21,59.0,87,20,4.7,DE,1539325500
Santiago del Estero,-27.8,-64.26,54.37,99,92,13.22,AR,1539326582
Radom,51.4,21.15,49.46,84,24,8.75,PL,1539326468
Grindavik,63.84,-22.43,44.6,75,75,24.16,IS,1539324000
Iguape,-24.7,-47.56,68.05,100,92,11.54,BR,1539326583
Genhe,50.78,121.52,53.51,49,8,9.42,CN,1539326583
Rumoi,43.93,141.67,57.2,81,75,13.87,JP,1539324000
Bolshaya Dzhalga,45.97,42.7,54.05,81,0,12.66,RU,1539326584
Howard Springs,-12.5,131.05,93.2,44,20,11.41,AU,1539324000
Sinnamary,5.38,-52.96,80.65,95,20,13.44,GF,1539326585
Bafata,12.17,-14.67,75.79,96,0,8.52,GW,1539326585
Goderich,43.74,-81.71,49.37,82,80,20.94,CA,1539326586
Darnah,32.77,22.64,72.41,100,44,16.02,LY,1539326586
Narsaq,60.91,-46.05,24.8,58,48,7.4,GL,1539323400
Tunoshna,57.55,40.13,39.25,93,56,6.17,RU,1539326587
Cairns,-16.92,145.77,80.6,69,20,9.17,AU,1539324000
Texarkana,33.44,-94.04,55.94,83,1,4.7,US,1539323580
Nipawin,53.36,-104.02,24.8,85,20,8.05,CA,1539324000
Anadyr,64.73,177.51,35.6,80,0,4.47,RU,1539324000
Mamallapuram,12.63,80.17,93.2,52,40,8.05,IN,1539325800
Padang,-0.92,100.36,79.7,100,92,11.21,ID,1539326589
Scarborough,54.28,-0.41,57.2,82,76,11.41,GB,1539323400
Gambela,8.25,34.59,71.24,85,44,1.92,ET,1539326590
Mizdah,31.45,12.98,60.89,93,24,5.39,LY,1539326590
Mandera,3.94,41.86,84.29,46,0,9.75,ET,1539326591
Brodokalmak,55.57,62.07,37.4,69,75,15.66,RU,1539324000
Cachoeira do Sul,-30.05,-52.89,64.22,77,80,14.45,BR,1539326592
Salinas,36.67,-121.66,57.92,80,1,2.71,US,1539323700
Morondava,-20.3,44.28,83.39,67,0,3.71,MG,1539326592
Daokou,35.61,105.12,55.27,63,0,9.53,CN,1539326593
Praia da Vitoria,38.73,-27.07,66.2,88,20,29.55,PT,1539324000
Motema,8.55,-11.35,70.79,96,88,1.03,SL,1539326594
Qingyuan,27.62,119.06,69.13,55,76,2.15,CN,1539326594
High Level,58.52,-117.13,33.8,74,90,4.27,CA,1539324000
Vanavara,60.35,102.28,39.2,51,0,5.17,RU,1539326595
Adrar,27.87,-0.29,68.0,49,0,3.36,DZ,1539324000
Porlamar,10.96,-63.85,81.05,100,20,11.99,VE,1539326596
Port Blair,11.67,92.75,82.85,100,76,7.96,IN,1539326596
Ermoupolis,37.44,24.94,66.2,82,40,24.16,GR,1539325200
Sandpoint,48.28,-116.55,41.0,80,90,3.94,US,1539324900
Nicoya,10.15,-85.45,72.28,100,92,2.93,CR,1539326597
Nenzing,47.18,9.7,50.0,93,0,2.24,AT,1539325200
Alto Araguaia,-17.32,-53.22,69.67,93,20,3.15,BR,1539326598
Rawson,-43.3,-65.11,52.79,51,0,15.68,AR,1539326598
Ozuluama,21.12,-98.35,70.7,100,64,2.48,MX,1539326599
Batagay-Alyta,67.8,130.41,22.55,91,76,3.15,RU,1539326599
Camacha,33.08,-16.33,73.4,88,40,5.82,PT,1539324000
Bukama,-9.2,25.85,73.04,89,48,4.38,CD,1539326600
Kurchum,48.57,83.65,57.65,64,12,6.96,KZ,1539326600
Jackson,35.61,-88.82,51.08,92,1,5.61,US,1539324900
Krasnoarmeysk,56.12,38.15,41.0,93,0,6.71,RU,1539324000
Mananjary,-19.16,46.8,70.75,50,0,8.63,MG,1539326602
Jardim,-21.48,-56.15,72.05,94,20,9.53,BR,1539326602
Palmerston,43.83,-80.85,42.8,75,40,17.22,CA,1539324000
Eyl,7.98,49.82,80.42,81,32,8.86,SO,1539326603
Kundian,32.46,71.49,75.47,54,36,6.29,PK,1539326603
Dingle,11.0,122.67,86.9,67,36,11.88,PH,1539326604
Muisne,0.61,-80.02,65.44,98,76,2.71,EC,1539326604
Yumen,40.29,97.04,54.64,39,0,6.62,CN,1539326604
Antofagasta,-23.65,-70.4,59.0,87,90,5.82,CL,1539324000
Kawalu,-7.38,108.21,83.62,65,32,2.71,ID,1539326605
Merrill,42.03,-121.6,42.98,11,1,2.59,US,1539323580
Arkhangelsk,64.54,40.54,37.4,93,40,4.47,RU,1539324000
Beipiao,41.8,120.76,64.54,27,0,6.62,CN,1539326606
Tessalit,20.2,1.01,69.44,34,0,11.43,ML,1539326606
Fortaleza,-3.73,-38.52,78.8,78,20,14.99,BR,1539324000
Avera,33.19,-82.53,66.02,82,1,6.93,US,1539324900
Jumla,29.28,82.18,45.59,69,0,0.92,NP,1539326608
